val_MAE,step,val_Total_Loss,epoch,val_RMSE,train_Total_Loss,train_MAE,train_RMSE,test_Total_Loss,test_MAE,test_RMSE
0.11738834530115128,61918,0.04029541462659836,142,0.19527985155582428,,,,,,
,61918,,142,,0.029455404728651047,0.11149912327528,0.16725987195968628,,,
0.15011432766914368,62351,0.05924588814377785,143,0.23674355447292328,,,,,,
,62351,,143,,0.03864634782075882,0.1224563792347908,0.18128535151481628,,,
0.11904973536729813,62784,0.04183632507920265,144,0.197564959526062,,,,,,
,62784,,144,,0.03376719728112221,0.11959502100944519,0.17955400049686432,,,
0.11032534390687943,63217,0.03491664677858353,145,0.1824653297662735,,,,,,
,63217,,145,,0.024587005376815796,0.10418081283569336,0.1538359820842743,,,
0.10949736088514328,63650,0.036504726856946945,146,0.18550220131874084,,,,,,
,63650,,146,,0.02084127441048622,0.09599937498569489,0.14182938635349274,,,
0.10740874707698822,64083,0.03715922310948372,147,0.18587878346443176,,,,,,
,64083,,147,,0.0186120867729187,0.09162365645170212,0.1346360296010971,,,
0.12552635371685028,64516,0.046975135803222656,148,0.20942449569702148,,,,,,
,64516,,148,,0.033854883164167404,0.1176137775182724,0.1741744875907898,,,
0.1240496039390564,64949,0.0477178618311882,149,0.21219107508659363,,,,,,
,64949,,149,,0.021759191527962685,0.09742769598960876,0.14407923817634583,,,
0.11825530976057053,65382,0.04599771648645401,150,0.20537830889225006,,,,,,
,65382,,150,,0.032221391797065735,0.11793894320726395,0.17473290860652924,,,
0.20734064280986786,65815,0.10860708355903625,151,0.32608702778816223,,,,,,
,65815,,151,,0.030608955770730972,0.10717134922742844,0.1613781750202179,,,
0.12984681129455566,66248,0.04552862420678139,152,0.20729413628578186,,,,,,
,66248,,152,,0.04171305149793625,0.13148917257785797,0.19643530249595642,,,
0.11816715449094772,66681,0.04075876250863075,153,0.1968497931957245,,,,,,
,66681,,153,,0.030779732391238213,0.11250099539756775,0.1701357364654541,,,
,66682,,154,,,,,0.04022444784641266,0.1160605326294899,0.19569355249404907
